file: GoPro_G12_无辅助_抽象.m4a
***********************************result**************************************

[0:0.060,0:0.260,0]  我。
[0:9.880,0:11.420,1]  哦，那个A方了吗。
[0:13.230,0:14.260,0]  他今天没有A。
[0:17.780,0:22.050,1]  啊，那边那个一就帮我说让我哦不是那个要开。
[0:22.070,0:25.770,0]  那个要开那个要开，嗯。
[0:26.120,0:27.990,1]  最后说有一种是的这了吗？
[0:28.220,0:30.760,0]  对，但是他不辅助，但是里面的数据还是要写。
[0:30.760,0:32.160,2]  我要写统明OK。
[0:37.800,0:38.800,0]  你们开始吧。
[1:39.590,1:41.310,0]  我有点想不出来了。
[1:42.130,1:43.790,0]  什么工具能够支持？
[1:44.700,1:45.560,1]  不想给我。
[1:46.140,1:52.430,0]  可能是类似于耿百科那样的一个viking吧，然后把互联网上面的全部记下来。
[1:52.800,1:54.920,1]  然后方便大家查阅什么。
[1:56.860,1:59.970,0]  还是说就是给他们提供一个平台。
[2:1.310,2:3.060,1]  然后就让他们在里面。
[2:4.100,2:5.550,0]  互相玩耍。
[2:7.160,2:11.340,1]  哦，那那平台的话，我之前当时收到一个，但是那个已经被禁了。
[2:12.130,2:13.040,0]  什么什么。
[2:15.130,2:16.190,1]  好像好像是，
[2:17.260,2:17.660,1]  哎。
[2:18.070,2:18.620,0]  原来。
[2:21.330,2:27.130,1]  更多还是我在初中的时候，不是微VO，还是我在初中的时候的一个东西，
[2:28.740,2:39.610,1]  那个时候会发发，大家会互相发图，然后在上面拼一个比较搞笑的字条，然后别人会给你点赞，然后你点上去了，然后就会比较高比较高的。
[2:40.310,2:40.950,1]  但是。
[2:42.430,2:43.550,0]  是那个叫什么。
[2:48.760,2:50.210,0]  真的是吗？
[2:50.620,2:52.580,1]  用了黄色的怎么是？
[2:54.680,3:0.450,1]  什么来着，反正他我觉得他对风险是的，因为他还挺挺挺恶俗的。
[3:2.140,3:5.360,0]  其实我觉得就是搞头像这个心理动机。
[3:6.330,3:13.655,0]  其实或者或许只是一种，就是幽默吧，可能大家都想说话幽默一点。
[3:13.655,3:15.100,1]  真的风趣。
[3:17.040,3:19.990,0]  然后但是就是那种不太。
[3:20.950,3:23.630,0]  上得了台面的幽默就变成了臭。
[3:24.660,3:25.820,1]  的这种感觉。
[3:37.180,3:52.340,1]  不知道大家怎么看的，主要是接触的还是不够多吧，因为没有字幕和别人在网上炒过，就是如果炒过可能就可以发现有一些感抽象的的词，什么你诶的笑什么，点什么什么。
[3:53.770,3:57.255,0]  君子是。
[3:57.255,4:0.020,1]  他们不是还有什么龙，龙图一套吗？
[4:0.130,4:3.380,1]  就是那个玩全不知道他们在玩什么东西，真的吗？
[4:3.520,4:9.920,1]  对对，就只是，但你这道有龙这个东西，但是我不知道那个东西的意义是是的。
[4:11.340,4:38.140,0]  但是可能就是他们只是好玩，就最开始只是就最开始只是那个人混就是混东方圈子，然后东方圈子就特别的恶臭，然后就导致就导致就是那个人一直被就是大，就是大伙儿都笑他出的cos不太好，但是他又特别嘴硬，然后这种嘴硬人就容易被放在了不是互联网上，就拿他的名，他的照片永久纪念，你懂吗？
[4:40.470,4:42.140,1]  应该他们出主角是这么来。
[4:42.140,4:47.560,0]  对对，因为他们就是名字里面带个笼字，天哪，就说好，
[4:49.590,4:52.640,0]  就是就是之前让他不作知，哎，对。
[4:52.640,5:7.865,1]  就是之前那个时候就是我发了一个奶龙的一个那个表情包，就是我不知道那个东西是什么，我只是觉得他应该是一个可爱动画片里面的角色，然后有人和我，和我说什么奶龙什么什么什么什么东西的，那个时候我才发现他好像是一个梗，但是我不知道。
[5:7.865,5:10.510,2]  我到现在就觉得奶东西是个狗来皮。
[5:12.390,5:37.535,0]  因为奶龙基本上现在就已经，其实也也跟龙文化有关，就是只要跟就之前就是只要跟龙相关的，就大家都能拿出来嘲讽你们，然后再加上奶龙那个动画做的一个特别的极致，特别的疯癫，对，然后所以他们就会被就会就以会被男出来说就是他就是每然后我把那个奶楼的那个表情包。
[5:37.535,5:39.770,1]  他会叫什么，今夜星光闪。
[5:41.220,5:44.345,0]  一个非常著名的奶尔创，是的。
[5:44.345,5:47.525,1]  然后就完全不知道在电经理跟上时代很久了。
[5:47.525,5:51.550,2]  还是我们这出真酪那为他可能真的理解不了我槽了。
[5:52.110,5:59.105,0]  但是那个我觉得那个视频从来也没有做的很好，不想看了，对我也觉得没没解得特别的好啊。
[5:59.105,6:1.240,1]  还是沙滩太太紧跟潮流了。
[6:1.530,6:5.590,0]  就这那这地质要2是床，天呐，还不如很小见。
[6:5.850,6:7.810,1]  但是我知道卡心尼是什么。
[6:8.900,6:17.310,1]  卡西尼一开始是下来里面塞赛赛赛马娘里面的一个，那个给一个东西的一个称，那个人也是给一个东西称呼嘛。
[6:17.690,6:21.370,0]  是海基林，是是日语给他蜂蜜的意思。
[6:21.370,6:23.605,1]  对海基海基林哦。
[6:23.605,6:27.240,0]  想起来了，然后就是因为当时他要去买蜂蜜。
[6:28.570,6:46.430,1]  然后我们然后然后然然后后面后面莫名其妙他就变成了一个猫的别神，然后那个时候我一直以为这个哈基米是那个，哈哈哈哈哈，大姐就是美国那个，哦对对，我一直以为是在讲她，然后后面才知道原来是韩基明，该是蜜。
[6:48.130,6:50.640,0]  所觉就是变成猫咪了，真的。
[6:50.640,7:0.285,1]  然后又变成就感觉很神奇的，然后就粉丝的时候，这个图像这个东西我们也挺多的，感觉也真的是真的可以跟百科了吧。
[7:0.285,7:2.570,0]  就是抽香是它是有一个谱系的。
