file: GoPro_G42_有辅助_搭子.m4a
***********************************result**************************************

[0:1.430,0:6.475,0]  不怕吧，他就是他比较怕，他们两个的话，应该还好，他们那个戴知持。
[0:6.475,0:7.380,1]  那我看一下。
[0:10.810,0:11.630,1]  自由文化。
[0:25.320,0:31.300,0]  这个这个我常因为因为我因为我去看演唱会的话。
[0:32.140,0:51.960,0]  呃，比如说你身边的朋友跟你喜欢的不是同一个，或者说他们没有空，他们没有经济能力陪你去的时候，那你这个时候你就需要在网络上去找搭子嘛，那这个时候你找搭子的方式，可能是在微博上的一些话题讨论里面找，可能是是在一些呃群里面，就是比如说你的同号群。
[0:55.270,0:56.510,0]  就呃，就。
[0:57.350,1:4.560,0]  在图号群里面找，或者是在一些社交的平台，比如说小红书啊，抖音这种平台上去留言去找啊。
[1:5.960,1:12.780,0]  那对于我来说，我觉得这种就是说，嗯，对于我来说更像是。
[1:14.620,1:29.870,0]  找一个陪伴，就是你想去做这件事情，但是你其实更希望有一个人能陪伴你，但这个人不一定是你的朋友，也可以是一个陌生人，但是他跟着跟你有着相同的兴趣爱好，我觉得就可以有成为朋友的契机。
[1:30.250,1:30.570,2]  嗯。
[1:32.910,1:38.950,2]  他有我不是不是咱像圈子一样的，那你们饭搭子就是临时约起的就是。
[1:39.780,1:42.245,2]  就可能你走在路上碰着来，你去看电影。
[1:42.245,2:10.270,0]  我们一起就是都提前会约好，就比如说你在网络，网络上发过一个帖子，说啊，我明天想去看这场电影，有没有一起去的这种，但是你跟别人是陌生人，你可能不太认识他，但是但是这个的前提其实一般会，就像我们在学校里面的话，找答主可能会大家会放松一些，因为大家都是学校里面的人，就是有知根，知就是知，偏向于知根知底，不是那种网络上很随便的人嘛。
[2:10.720,2:21.780,0]  就会好一点，然后像比如说你都喜欢这个明星，那我们对比此就是一种天然的信赖，有多少对有天然的信赖度，那你就可以直接找。
[2:22.450,2:33.080,2]  那会不会就是正好我也请请教一下，就是你们在学校，那你们说这这种搭字会不会有共同的观点，就会提一个搭字。
[2:33.990,2:35.170,2]  的观点。
[2:35.220,2:37.090,2]  如果你看电影，不同的观点。
[2:37.800,2:40.090,2]  嗯，能不能成为一个大陆的面大。
[2:41.940,2:49.630,2]  就好比说我对这个电影这个看法，我是不认可他那个上面那个行为观念的，反正你们是认可你的行为观念的。
[2:50.000,2:51.820,2]  或者这种观念冲突的。
[2:52.900,2:53.750,1]  可能是。
[2:55.180,2:57.530,1]  在在看电影之前就是。
[2:58.380,3:3.970,1]  嗯，怎么至少是都对这个电影感兴趣，想去看会会去。
[3:3.990,3:16.420,2]  对对对对对，你看过，看电影的过程中都是就有不同的观点，还有有些在之前在看之前，呃，就是通过一些网上去了解一些观点，那这种两个人都什么一搭呢？
[3:17.800,3:22.700,0]  这个顺序反是先成为单子再会有这个事情嘛，对不对。
[3:23.510,3:26.670,0]  你不成为单子，你跟他聊这个的机会都是没有的。
[3:29.620,3:39.650,0]  那个那个只能决定我们能不能成为很好的朋友，但是不决定我们能不能成为就成为大的门槛非常的低，只要你有相同想做的事情就可以。
[3:45.630,4:2.560,0]  因为你看他说低负担，边界清晰的社交形式嘛，就代表说你可以在这段社交当中，你畅悔，你想表达自己就可以，因为对方并不是奔着要跟你成为朋友去的，对方也只是想做他想做的事情，旁边有个人陪着而已嘛，对不对？
[4:3.630,4:10.750,0]  所以说他才说他轻负担，就是这个原因，因为如果你们是朋友的话，你就可能得顾及一下，你说的话对。
[4:11.380,4:15.120,0]  会不会跟别人矛盾，会不会产生矛盾，你需要顾及这些东西吗？
[4:15.590,4:20.550,0]  所以这种关系他就比较嗯，比较轻松，不会给你那么多负担。
[4:26.390,4:29.700,2]  别说这个大的，还是比较浅显的，不是圈子的。
[4:30.740,4:31.270,2]  这边。
[4:33.350,4:35.220,2]  达不到羽圈的这样的话。
[4:36.860,4:37.975,0]  也算是圈子。
[4:37.975,4:38.400,0]  因为。
[4:39.380,4:40.950,0]  因为嗯。
