file: GoPro_G52_无辅助_抽象.m4a
***********************************result**************************************

[0:0.000,0:0.900,0]  是。
[0:2.700,0:5.320,1]  没有了，没有老师的。
[0:5.320,0:8.480,1]  对，大小腿这边没了。
[0:8.480,0:10.895,2]  那没关系，你就直接写你可以。
[0:10.895,0:12.935,1]  看到对方的内容就好。
[0:12.935,0:14.460,2]  他刷新不下来了。
[0:15.600,0:18.600,1]  好，就58分开始了。
[0:19.420,0:23.380,2]  我先理解一下高中笑这个词。
[0:24.200,0:27.850,2]  你可以写一些看看一下他们两个的人看一下。
[0:28.700,0:40.820,2]  打个字，抽象，抽象已经成为部分大学生表达个性、传递情绪的方式，这个句话抽象的我这里看到，看到这里分。
[0:40.820,0:41.495,1]  我我可以。
[0:41.495,0:42.520,2]  看看。
[0:43.360,0:46.400,1]  我我这边好像我们这边也可以干嘛了。
[0:46.420,0:51.025,2]  我现在下一下你写一下或者怎么。
[0:51.025,0:55.105,1]  搞你怎么搞那个。
[0:55.105,0:55.920,2]  人。
[0:55.920,1:0.925,1]  随便讲的时候，突然就讲到一个什么词，然后大家就开始讲那个。
[1:0.925,1:13.920,2]  词，哎，你们觉得现在搞出像有什么，就是比较流行的，除了刚刚那个老师讲的，我看见，我看见有跳舞的，就是那种抖音上比较热的舞，然后有大叔在跳。
[1:14.920,1:21.360,2]  该不会是那个，就是有一个大的大厨在跳那个。
[1:21.980,1:32.980,2]  我看现在好多那种，就不管是哪一个阶层啊，还有年纪都在跳一个还蛮蛮难听的歌。
[1:32.980,1:37.620,2]  什么什么金龙鱼哦啊，什么爱说茶具啊。
[1:37.620,1:39.480,1]  年末，夏冰。
[1:39.480,2:7.480,2]  怕哦啊，这个对，然后我我觉得我第一次听到的时候，我也想听会有个难听的歌啊，所以我听着听着现在好像也有点少女，瞬至是听习惯了，其实听多就方，甚至想去跳一下，他们想带胆锻炼的，而且真的就是不管是什么样的人好像都在做这个事情，他们也不会觉得尴尬。
[2:7.480,2:9.400,1]  这种。
[2:9.400,2:11.480,2]  东西。
[2:11.480,2:14.820,1]  我觉得有机一点，别人才会，可能就会。
[2:14.820,2:18.340,1]  这个东西这一直在重复。
[2:18.340,2:23.950,2]  因为我觉得你说的挺对的，好像搞抽象能火起来的东西都还蛮有记忆，念好第一个。
[2:23.950,2:26.740,1]  我感觉这种朗朗上口的那种，比如说说。
[2:26.740,2:32.890,2]  东西，那其实搞抽象，其实并不抽象，它还需要有记忆。
[2:32.890,2:33.840,1]  点，嗯。
[2:43.460,2:47.030,1]  而且是不是要找大家，可能不大众喜欢。
[2:47.030,2:47.960,2]  什么？
[2:47.960,2:52.420,1]  嗯，然后再可能在创新，自己有自己的想法，然后。
[2:53.060,3:2.450,1]  别人可能就会会跟着一起喜欢，可能就是可能他普遍东西就加以创新，然后你就可能又变成一种，你自己创造另外一种东西。
[3:2.450,3:19.480,2]  了，因为你觉得搞抽象能够搞起来，他是因为他找准了大家喜欢的点才去搞出来的，还是说像你第二种的想法，就是好像稍加修改，不是那种，嗯。
[3:19.900,3:32.350,1]  那可能看一些东西吧，可能有些东西他就从来没有出现过的嘛，然后比如说可能就是搞传播这种东西啊，之前可能就是个人美女直播嘛，那种可能现在就是一群人。
[3:32.350,3:33.400,2]  然后我。
[3:33.400,3:44.350,1]  因为抖音网如果特对用他之前就因对图片就是他会有这种什么杂赏么，然后后面我一直都没发到过，后面就开始一直会有这种直播。
[3:44.350,3:46.420,2]  给我说啊。
[3:47.240,3:49.870,0]  传播。
[3:49.870,3:56.705,2]  其实是一种新的，好像又商业也有什么的一种形式啊，其实他。
[3:56.705,4:4.775,1]  是个人打拼的嘛，那可能就是一个成交业绩比较好的人，带动另外一个人，可能他也会有收到一些礼物什么的。
[4:4.775,4:6.500,2]  我感觉。
[4:9.540,4:14.380,2]  但是我感觉搞抽象它主要是能够。
[4:14.380,4:26.785,2]  带来带来一种欢乐，然后就可以减少焦虑，我感觉是不知老这种，其实我觉得他的欢乐好像是比较无脑的，相对来说啊，可是。
[4:26.785,4:30.040,1]  像你刚刚说的那个通知书可能就是。
[4:30.040,4:31.540,1]  好的。
[4:31.540,4:33.880,0]  嗯。
[4:34.600,4:38.155,2]  但是我觉得也不能排除他在传播的过程当中可能。
[4:38.155,4:39.100,0]  也是有推手。
[4:39.100,4:44.095,2]  就是有推手在推，嗯，可能是有意的营销。
[4:44.095,4:54.240,1]  像你在货一样，就是有些东西其实不是很好，然后你找很多网红带货，一个道理嘛，然后感觉都会肯定可的话，带很多人都会去买一个。
[4:54.240,4:55.620,2]  嗯。
[5:6.700,5:8.720,2]  Lisa, 现在。
[5:8.720,5:11.740,2]  看到的比较你觉得比较搞抽象的。
[5:11.740,5:15.680,2]  有什么case吗？Case翻译了。
[5:19.160,5:23.360,2]  这里有一个说年轻人为了全民抽奖。
[5:23.820,5:33.320,2]  然后给了3，给了3点，第一个是幽默，是最高级的防御机制，幽默是对人类绝望的灵魂回应。
[5:33.320,5:35.145,1]  就是有时候很。
[5:35.145,5:44.320,2]  尴尬的时候就很抽象，搞得抽象后才化解一下。这个人在无语的时候真的没有笑。
[5:47.500,5:49.915,1]  抽象的概念。抽象是。
[5:49.915,5:51.180,0]  中国的。
[5:52.340,6:10.840,2]  不知道你们有没有看过喜剧，呃，就是买东西那个叫什么喜剧，他回去了，嗯，不是不口秀不是，就是一堆喜剧人，然后一去做创作，对对对演像小品一样的，嗯，然后我第一次听到。
[6:10.900,6:14.400,2]  说搞抽象这几个词就是在那个里面。
[6:16.400,6:35.030,2]  让你们继续，就是他们经常会在创作里面出现一些像嗯，比较无厘头的东西，我在想无厘头是不是以前的叫法，现在就像说可能就是。
[6:35.030,6:37.410,1]  与时俱进。再搞不清，再。
[6:38.400,6:43.400,2]  从逻辑上也许是完全不同的。
[6:51.000,6:54.500,2]  然后还搞抽象的。主要目的其实也就是在浪漫的。
[6:54.500,6:59.540,1]  就是很大，现在都很无聊，然后就找一游机让大家娱乐一下，觉得舒服。
[7:1.500,7:5.500,2]  所以就可以说。
[7:6.400,7:13.735,2]  喜剧或者是这种元素调到的元素是初三的搞是3目要比较必备的。
[7:13.735,7:27.540,1]  东西虽在年非人，不是说工作比工作压压垮一样那种感觉，所以要早点出相嘛，然后让自己花泪下，就是工作太苦了，从意这种就在里面找点还落来那种感觉。
[7:27.540,7:42.260,2]  是一种对于现实的西，然后我还看见，好像他不仅是对自我的探索，也是在这个快速变化的环境中寻找认同感和归属感，就往下走。
[7:42.940,7:47.300,2]  快速变化，这个怎么理解呢？
[7:47.340,7:50.140,2]  快速变化的。
[7:50.160,8:4.280,2]  快速变化的社会环境中寻找认同感和归属感，所以他们通过这种方式可以构建一个独特的文化空间，然后可以反思在其中，自身在其中的位置。
[8:4.280,8:8.320,2]  嗯，自身怎么在。
[8:8.320,8:15.240,2]  可以反思自身在这个社会环境中的位置。好像也有。
[8:15.980,8:18.620,2]  说的挺对的。
[8:19.060,8:32.280,2]  其实有一点像，嗯，就是可能一小波的人，那他创造出来的一个东西，然后大家在里面就找到了一些。
[8:32.280,8:43.860,2]  自己的一个文化空间，然后在共同进行这个狂欢的时候，就会比较快乐，然后人一快乐，这个东西就更好传播，好像就形成了一个。
[8:43.860,8:46.160,1]  短裤子，嗯。
[8:52.020,8:53.640,2]  团结。
[9:7.660,9:18.880,2]  没看到我写的可以看到你们是实时能看到了，嗯，应该是实时没有没有那种野区吧啊。
[9:30.380,9:34.420,2]  那就这个，然后我们再各自找一些。
[9:34.660,9:38.540,2]  还是要把论自己的支持出材料。
[9:38.900,9:44.400,1]  像第一个你就可以搞抽奖，抽烟金点，就是你说的那个就可以接受。
[9:44.400,9:46.600,0]  然后。
[9:52.480,9:55.660,2]  就可以举一些搞抽象的例子。
[9:56.780,10:6.060,2]  这就可以随便写。
[10:6.640,10:8.995,2]  我看不到你们的底，是没有我。
[10:8.995,10:10.140,1]  没有。
[10:29.800,10:33.940,1]  带了好多小内无能，可把自己的有情格没写上去。
[10:34.520,10:36.035,1]  写吧，随便举这种。
[10:36.035,10:37.440,2]  情况。
[10:37.440,10:39.660,2]  可以在你的那个。
[10:39.660,10:42.780,2]  工作区一起上，然后我提回来。
[10:43.460,10:45.340,1]  4年流行歌什么？
[10:46.520,10:48.005,2]  流行歌啊，不是。
[10:48.005,10:48.900,1]  流行歌。
[10:48.900,10:56.020,2]  啊，流行歌谷狗一下吗？什么抖音神曲。
[10:56.020,10:57.020,0]  呼。
[10:57.020,10:59.020,2]  抖音神稿。
[11:10.360,11:11.965,1]  2025的。
[11:11.965,11:18.000,2]  网购热，然后大们看一下有什么，看看有多少5g的己下。
[11:18.000,11:19.300,1]  类。
[11:19.480,11:23.130,1]  确真的假的。我感觉这话意思。
[11:23.130,11:28.460,2]  听起来好像还好，集不新奇感正是不是？
[11:28.460,11:31.130,2]  新天的碎片还感觉还蛮久了。
[11:31.130,11:33.930,1]  对啊，但是好奇的是2025年最火。
