file: GoPro_G71_有辅助_抽象.m4a
***********************************result**************************************

[0:0.960,0:2.380,0]  我这边看到。
[0:5.880,0:7.750,0]  没有，没关系，你就看上你了。
[0:8.550,0:9.790,0]  我是看任务子。
[0:12.280,0:12.870,1]  老公。
[0:27.210,0:30.010,0]  然后这个任务是尽量鼓励大家多讨论。
[0:30.910,0:32.360,0]  其他的是辅助的。
[0:41.020,0:50.460,2]  那就是我们要在30分钟内，然后在我们的面板呈现这两个点的内容，那我们之间的讨论是通过这个发起互动提示没有？
[0:52.530,0:53.795,2]  是通过啊。
[0:53.795,0:55.880,0]  不用不用你们先的讨论。
[0:55.880,1:4.000,3]  就正常发言讨论，然后还有一些资料，自己的观点输出，可以在那个编辑框上输出，然后大家都看得到。
[1:5.660,1:10.130,4]  因为这些分工要啊，最多的话，应该是三个人达成比较的一成的意见。
[1:10.130,1:10.370,4]  因为。
[1:10.420,1:11.070,4]  我说。
[1:12.520,1:18.230,4]  然后肯定是经过大家讨论之后做一些就是什么门店的。
[1:18.400,1:22.220,1]  你们刚才有说到提示对跳。
[1:23.220,1:25.030,1]  哦，眼睛上有啊，我有。
[1:26.520,1:27.160,2]  加油。
[1:29.190,1:30.365,0]  眼睛下就OK。
[1:30.365,1:31.390,0]  好，我们开始。
[7:39.970,7:40.700,1]  朋友们。
[7:40.840,7:45.890,0]  这里这里的论据不需要太详细，你可以直接搞一个那个新闻的link。
[7:47.960,7:50.250,4]  保证六七百户以下就行。
[7:51.640,7:53.000,4]  这是讨论的过程。
[11:9.210,11:12.400,0]  大家有没有，或许可以边聊边说？
[11:20.160,11:23.650,0]  好像有些同学已经输出一些观点，要不你们家会说一下？
[11:29.910,11:31.250,1]  嗯嗯。
[11:31.250,11:37.090,2]  那我来分享一下，就是反正有知识的数据来说，搞图像是2024年。
[11:37.480,11:42.590,2]  最火的一个文化现象，然后呢，就是一是支撑了它这个现象是。
[11:43.200,12:22.700,2]  呃，非常火，二就是结构，他后面的一些原因吧，就是说，呃，年轻人可能说面对一些复杂的情况，他们是有情绪的，但是他们也不想非常严肃的表达，所以说这种搞抽象是一种大家可以会心一笑，比较轻松的把我们的情绪表达的一种观点，然后可以抛下一些社交面具，在互联网上更加轻易的，然后和谐的与对方进行一个沟通，然后这就是我的两个观点和共识，一是他真的去年很火，二呢，是他背后的一个原因，然后对。
[12:34.360,13:13.680,1]  嗯，我主要发现就是像比如说日均上网时间超过3个小时的这种网络活跃的用户，因为比如说他可能通过抖音啊，小红书这种社交软件或者流媒体平台，然后他就会，呃，因为首先他时间就点长了，他会通过大数据，一方面是他可能比如说通过大数据他刷到过，或者说推荐系统给他推荐了，就是比如现在比较火的网络，或者基于他的一个用户信息，可能做很多都不分层，会推荐给他这种，然后他第一次了解到这种搞抽象的这种东西之后，然后如果他又是那种5g冲浪的。
[13:15.200,13:24.450,1]  人，或者说他本身就是现在这种历史感，对于这个亲密关系或者社交关系，都是一个比较谨慎或者含蓄的这种，呃。
[13:25.630,14:13.850,1]  态度的话，其实很多人内心深处可能是很需要社交，但是可能他不愿意在线，呃可能比如说线下的这种环境去输出自己的想法或者观点的时候，他可能就会通过互联网的方式，然后比如说像呃最广为流传的啊，比如广为流传就是最主要他们参加的这个原因的数据显示是呃主要还是呃为了快的，就比如说有些时候像现在的一些呃搞抽象，包括呃现在比较好的一些刷短语，其实都是相当于通过一个说出口，然后就是相当于让自己的脑子不太就是现在去想工作上的烦恼或者学习上的烦恼，所以就单纯就是嗯看视频，然后为了快乐买单，然后第二部分呢，就是他们是觉得是可以靠抽象去解压，比如说。
