file: GoPro_Ga2_有辅助_抽象.m4a
***********************************result**************************************

[0:4.920,0:5.560,0]  没事。
[7:53.980,7:54.500,1]  这里。
[9:39.380,9:41.670,0]  嗯，我这里看到一个看法就是。
[9:42.710,9:51.390,0]  写是搞出，也就是那篇搞出，将会合成一篇，一场狂欢也是那篇写的，因为他写的其实是呼吁他的合作。
[9:52.060,10:16.400,0]  呃，就是呃，他是一种对世俗化本身的这一个梦犯，就是说他其实是要在这个世俗世界就是一个什么现在中发表出自己的看法，然后就是呼吁其他人跟自己有一个那种共鸣的那种感觉，你就是呃当代的一种可能是虚无主义吧。
[10:17.400,10:40.690,2]  我觉得更像是就是给生活呃减负，就是一个解压方式吧，就是通过对一些事情的呃，一些严肃事情的一些呃比较有趣的解读吧，幽默的解读啊，然后就是让大家的这个精神放松一下，就是这个也是跟现在高压和社会环境有关系。
[10:41.300,10:53.135,0]  嗯，我这里看到一有对，还有一个说什么，一个是够有趣，一个是就另外一个观点，一个是够有，一个是能解压，还有一个是也能也是找搭子，也能是抽象搭对。
[10:53.135,11:2.320,2]  这也是一个社社交的一个方式是吧，通过就是都是一起欢抽象的，然后就更聊的来，然后一块儿玩儿这样的。
[11:4.120,11:16.040,3]  这种就是平时生活压力太大，然后在网络上进行一些消遣吧，比如说就是一个视频下面，大家总会想找到一起共鸣的人。
[11:16.580,11:19.140,3]  现在我在视频上面也看到。
[11:19.640,11:20.040,0]  呃。
[11:20.120,11:28.500,3]  现在流行的一个热门，不是哈基里嘛，就是评论区就总有人以这个来造词的血腥。
[13:19.380,13:22.240,0]  你看有没有要加的点。
[13:23.210,13:24.450,0]  就先写了3。
[13:25.420,13:26.360,0]  放在最前面。
[14:4.670,14:11.070,3]  我感觉这个也是在增进熟人之间关系，有一定的提升作用。
[14:12.220,14:14.635,2]  就比如说你就精神。
[14:14.635,14:18.295,0]  就比如你在朋友圈看见友发一条什么。
[14:18.295,14:23.070,3]  然后你想要跟他关系好的话，你可能就会在评论区。
[14:23.270,14:25.170,2]  然后抽奖的互动方式。
[14:27.650,14:31.590,3]  然后在你不熟的人之间，你肯定是不会这样搞的。
[14:34.720,14:42.200,2]  我们有看到观众说就是情感，为什么搞物要是经过情感控跟群体归属感的驱动。
[17:50.820,17:55.090,0]  应该讨论那个构想的，我先写了5点那个。
[17:55.880,17:59.280,0]  1建联看有没有同一，因为他上面没有同步。
[18:0.290,18:17.910,0]  我先写个，就加一点是避免过度消解隐私问题，就比如说对自己的一些什么挫折什么的，就一些问题，避免他讨论的更加严肃，或者是带成一种比较消沉的氛围，可以在那种中间完成。
[18:18.240,18:19.820,0]  这是搞筹资的方法。
[18:20.400,18:21.615,0]  让活跃一下气氛。
[18:21.615,18:22.520,0]  或者说是。
[18:23.550,18:25.240,0]  你们在隐私问题中。
[18:26.660,18:27.870,0]  呃，把它变得。
[18:28.620,18:30.680,0]  就是变得轻松一些。
[18:56.610,19:2.560,3]  这就是那一篇说了他叫心理学真相的幽默，是涉及到防御机制。
