file: GoPro_Gb1_有辅助_抽象.m4a
***********************************result**************************************

[0:1.050,0:1.450,0]  Okay.
[0:8.750,0:11.670,1]  要不然咱们不要发，有那个发起提示。
[0:12.260,0:13.570,0]  他们已经发过了。
[0:13.830,0:16.360,1]  有收到，那现在开始。
[0:18.740,0:20.580,2]  看这个中间有那个倒计时。
[0:21.080,0:24.060,1]  咱们应该时间是的。
[0:24.080,0:29.370,0]  你们应该面也会看到那个任务详情，没有看到的话，可能刚才错过。
[0:30.500,0:31.140,0]  真是没。
[0:38.080,0:39.740,0]  那我们是分开还是？
[0:41.060,0:42.040,0]  明天去。
[0:42.580,0:46.680,0]  好的，就看你们内部的安排，对，我再问他们。
[0:48.350,0:51.330,1]  那我们就先分开找我交流一下。
[5:50.100,5:52.690,0]  大家最后说出的内容不要太多。
[5:52.710,5:53.680,0]  能忘了就。
[5:56.100,6:0.350,0]  这最后书中的内容尽量控制在七八百字左右，就。
[6:1.840,6:3.200,2]  越少，越少越好。
[6:3.630,6:4.570,1]  越算越疯。
[6:5.400,6:7.040,2]  就尽量你们干活就行。
[9:26.870,9:28.950,0]  所以我们要写够多少条呢？
[9:29.460,9:33.320,0]  就是说我们要在半个小时之内完成这两个任务，
[9:34.930,9:38.510,0]  就其实大概3条就好，不用太多呀。
[9:38.890,9:39.680,1]  3条就好。
[9:40.100,9:42.450,0]  自己写的差不多，可以教我一下。
[10:34.820,10:37.060,0]  我们需要讨论我们的共同点。
[10:37.060,10:40.380,1]  还是把信息综合。
[11:1.300,11:5.960,0]  哦，我看你们我你们3个好像都写了个性表达和。
[11:8.090,11:8.490,3]  我。
[11:9.740,11:17.340,0]  就是心理的情绪宣泄，相关的什么压力释放，情绪宣泄，这两点我们都有提到。
[11:19.080,11:19.550,3]  然后。
[11:21.840,11:25.850,1]  我觉得就是可以挑一些不同的点，然后就阐述一下。
[11:26.510,11:34.225,0]  然后我感觉我我我只讲了一个单纯的技术发展，我觉得是因为技术的发展推动了这个现象的发生。
[11:34.225,11:38.730,1]  对我的联系就是就是说因为社交媒体的普及嘛，这种。
[11:41.400,11:58.720,0]  对对，那我们拓展一下，可能是网络技术，就是你说的是现在我说是硬件传输就是网络，对对对，就这种也会起到一个，而且我还觉得就是可能是当然他我看到他的要求是说我要找到相关的资料，但我因为没有去找，但我个人认为是呃。
[12:0.170,12:25.890,0]  就是因为我们基本的生活需求已经得到了满足，嗯，就比如说我们的衣食住行其实基本上都能满足，所以我们现在主要矛盾是人类，人们日益增长的经济社会命需求，就是这个这个问题导致的，他们就是会想要去进一步在互联网上去进行一些新的创作什么的思考。
[12:27.200,12:27.600,2]  对。
[12:27.860,12:29.520,0]  就是马斯洛的。
[12:30.060,12:40.125,0]  呃，基本原理需求就是如果你现实需求都没有满足的话，那你就不会去，当然有很很少一部分人可以做到，就大部分人还是在实现了这个之后。
[12:40.125,12:43.460,1]  还可以进一进一步的去做这个根本的。
[12:45.870,12:49.600,2]  我觉得可以，他们其实也就是为了刷一个存在感吧。
[12:50.120,12:50.520,0]  嗯。
[12:51.780,12:57.930,2]  搞搞抽象，搞抽象其实不是特别理解，就是就是搞一些特别的什么，就是代表自己。
[12:57.930,12:58.820,3]  可别的不一样。
[13:2.990,13:8.430,0]  对，就比如说我跟你的共同语言，就有种全体归属感的那种感觉，嗯。
[13:10.100,13:17.680,1]  包括我身边有些朋友就经常搞抽象，就搞抽象，就是成为我们日常生活的交流方式，就也是一种社交选择。
[13:19.190,13:23.580,0]  但之前我有看到，就是说搞抽象的人是比较聪明的人，我也不知道到底是不是真的。
[13:23.900,13:27.390,1]  可能吧，我觉得他的那种勉强性的思维可能会好一点。
[13:27.590,13:44.760,0]  对，因为你抽象的话，说明你是不是真的跳出了你的现实的物质需求，你能去追求更高的一些精神发展，我我个人当然你不是单纯的只是用一些很很烂的网络梗标榜也是一个网络超人，而是你可以真的在一个很及时的。
[13:45.240,13:55.930,0]  方式去创造一些新的词，我觉得那种才是真正搞创抽象的人，他优秀的地方不是说别人说什么，他跟着说什么，这种就只是跟风而已，我觉得不是那种搞。
[13:58.560,14:1.055,1]  应该说自己在作对对对。
[14:1.055,14:9.790,0]  所以其实真的搞抽象的人，我觉得是很潮，然后他可能是很聪明的那种人，甚至他的精神需求已经跳脱出了传统的这种物质需求。
[14:11.940,14:24.670,2]  是嗯，那这些人是不是他的，他相对他的这个收入水平也会比如说起码是中上，就是同同年龄阶层的话，他们他们收入水平是比较高的收入。
[14:24.900,14:28.360,0]  我感觉收入还真不一定是吧。
[14:28.680,14:32.495,2]  因为双存代表其实跟收入没关系是吧，就是是是什么收入。
[14:32.495,14:37.550,1]  这种可能更作是处于一种心理方面的吧，算算这个比较混乱，做一直的。
[14:38.650,14:44.580,0]  我感觉他们可能更需要精神上的一种，就是追求的那种感觉。
[14:44.580,14:52.545,2]  搞抽象是不是就是，呃，因为我我我也经常经常每人去形容一个人很抽象，但我感觉下面一个是负面的评价。
[14:52.545,14:55.310,1]  但我感觉这两个图像是不一样的是吗？
[14:55.450,14:58.140,1]  对我的感觉是不一是比较发散。
[14:58.140,15:1.130,2]  如果一个人比如思维比较发散的这种属于。
[15:2.920,15:11.835,1]  这种证明可以属于搞抽象，如果说你形容一个人种抽象，可能是说他的一些他的行为不太符合正常的团件词是吧。
[15:11.835,15:17.540,2]  对，就直接用抽象这个词，就是如果说他思维很跳跃这种。
[15:17.590,15:23.990,1]  这种是可以说他可以有这种条件去搞抽象，但是不是说他这个人是抽象。
[15:24.640,15:46.430,0]  对抽象如果是形容人的话，可能有点贬义的，就有点意义的，然后我觉得说这个人的想法很抽象，呃，好像就是有一点异于常人嘛，但是他如果能比如说很及时的，比如说你说个A，然后他立刻不在你的框架里，他能说出别的东西，我觉得其实是个很聪明的人，而且我觉得他可能并不是那么关注现实的一种。
[15:47.960,16:2.730,0]  对，他可能不一不一定说他经济收入有多高，但是可能有点像哲学家那种感觉，就是他可以在他基只要让他就吃穿都可以满足基本的条件下，他会去追求一些别的东西，很跳跃的一些东西。
[16:2.930,16:10.500,2]  然后就我，我经常因为我之前就会人喜欢跳跃，我就一直在想他们在骂我呢，还是说就是在夸我就是。
[16:10.740,16:17.870,2]  是我也不太参这，那现在刚理解应该应该就是美不一样，我就我就是跳远。
[16:18.970,16:24.800,0]  每个人想法就是不一样，对，然后那是不是我们基本上对这个东西有些认知。
[16:25.440,16:28.510,0]  就是对这个抽象的这个认识稳点。
[16:29.040,16:37.120,2]  其实你搞点抽象，这是一个网络用语还是怎么样，就是说完做网络用语这的东西刚才也没有想。
[16:38.120,16:41.965,0]  但其实我我个人啊，我不是一个很抽象的人，你们你们是吗？
[16:41.965,16:49.860,0]  你是不是我觉得好像，我觉得好像越年轻的人越抽象，我感觉是因为真的是物质生活条件变好的原因，你觉得是吗？
[16:50.570,17:6.660,1]  还好吧，主要可能就是还是一种释放压力，而且就是我搞错象我只会在我很熟的朋友之间，我们会搞抽象，因为你跟不熟的朋友可能可能就不无法理解嘛，因为有可能就有一些。
