file: GoPro_Gb2_无辅助_搭子.m4a
***********************************result**************************************

[0:0.000,0:1.310,0]  没问题就可以开始了。
[0:2.230,0:2.840,1]  好的。
[0:15.190,0:16.370,0]  打死的话。
[0:20.820,0:22.420,2]  不会是把概率挂了吧？
[0:25.960,0:28.100,0]  书里的节点没有刷出来。
[0:30.610,0:31.880,1]  好吧，开始吧。
[0:55.260,0:57.920,2]  这个任务应该跟上上次那个差不多吧。
[0:58.420,1:1.010,0]  对，要求是一样的，只是换了子。
[9:26.610,9:29.740,0]  大家也是差不多，可以各自分享。
[9:39.730,9:40.760,0]  看看了下。
[9:41.580,9:43.640,0]  大概写的都还蛮像的。
[9:44.680,9:45.080,2]  嗯。
[9:46.590,9:48.700,2]  就是都是情感需求。
[9:50.340,9:57.200,0]  然后写，你写的比较完整，写的好像写了一些，为什么会产生这样的文化？
[9:59.070,9:59.470,1]  嗯。
[10:0.580,10:4.740,2]  我感觉确实整个硬件条件还是要互联网发展起。
[10:8.080,10:9.650,2]  没有这个前提条件的。
[10:11.000,10:12.390,0]  好碎片化时间。
[10:14.800,10:15.410,0]  确实。
[10:18.550,10:22.400,3]  你们家现在类似的，就是说现在比如说网络。
[10:23.080,10:24.620,3]  西特领域很发达。
[10:24.670,10:26.390,3]  但很容易找到和自。
[10:27.080,10:28.210,3]  兴趣相投的。
[10:29.010,10:30.670,0]  山地震山。
[10:32.090,10:33.940,3]  然后就会出现这种的话。
[10:34.140,10:34.540,0]  嗯。
[10:35.740,11:0.590,0]  这一个是科技的发展，然后还有就是现代人的生活节奏比较快，然后大家可能有，比如说像我们这种学生啊，或者学生可能都还好一点，因为还能一起上课什么的，可能都不太像大家族文化，但比如说像我们这种，呃，读博的人，或者他们工作的人，就是你要在你的有限的时间内找出能跟你做一样事情的好朋友，其实很难的。
[11:1.000,11:9.950,0]  所以你可能就比如说你不喜欢爬山，然后你同学没边去边去爬山，那你可能就会去找喜欢爬山的其他人，然后去做这件事情。
[11:13.080,11:18.430,2]  我我没有，就是接触过，找到他们这一方面的这些经历，就以是我不是很了解。
[11:18.990,11:20.470,0]  哦，我也我也没有见过。
[11:23.320,11:24.050,2]  比如说。
[11:24.640,11:27.360,0]  就是比如说你要什么活动，然后跟。
[11:28.030,11:33.800,0]  就是上网，然后去找一个你不认识的人搭字，然后跟他一起做某某的事情种。
