file: 海康_G01_无辅助_搞抽象.m4a
***********************************result**************************************

[1:54.110,1:58.890,0]  我看，那篇我的信来自华中科技大学马克思主义学院。
[1:59.480,2:0.640,0]  同学，他怎么还？
[2:1.240,2:4.190,0]  蛮蛮蛮有条理的。
[2:4.880,2:13.860,0]  就第一个是就是青年文出现的是什逻辑，他讲的一共有三个点，第一个就是情感的共鸣和群体归属感的驱动。
[2:13.970,2:15.510,0]  这个我觉得是因为。
[2:16.270,2:21.200,0]  就是现在这种抽象，就是大多数是在网络，网络世界流行。
[2:21.810,2:32.230,0]  然后现在青年人就太喜欢上网了，所以就是网，网友，或者就是说是网络上的这些人，就其实已经是他们身处的一个重要的一个群体。
[2:32.520,2:42.590,0]  然后他们可能就会需要有这样的情感共鸣，然后抽象就作为这样的一种媒介去啊，支持他们的这种共鸣。
[2:47.590,2:50.270,0]  我感觉跟你写的第一个点还挺像的。
[2:53.720,2:55.320,1]  这是新浪财经。
[3:13.680,3:16.270,0]  眼看一下啊。
[3:24.730,3:27.860,0]  好像没有给你提示才给怎么个。
[3:31.250,3:31.650,1]  嗯。
[3:32.360,3:40.380,0]  到时候第二个点呢，是关于社会压力，社会的心理防御机制，其实我觉得这个也就是是一个非常。
[3:41.160,3:42.490,0]  根本来源因素。
[3:43.690,3:48.080,0]  因为就现代人的生活都太苦了，我觉得就是玩抽象也是一种。
[3:48.810,3:49.360,0]  就是。
[3:50.160,3:51.610,0]  苦中作乐的一种。
[3:52.240,3:53.640,0]  因为防御机制的。
[3:53.810,3:54.550,1]  嗯，是。
[3:54.590,3:55.740,1]  发交易。
[3:56.420,3:57.725,1]  注意的负面情绪。
[3:57.725,3:58.960,1]  然后转化为。
[3:59.900,4:2.275,1]  对，是在玩笑中。
[4:2.275,4:2.940,1]  吃什么感。
[5:0.960,5:14.770,0]  就是违归中压力的消解，就是应该在我看来最主要的原因，因他自己第三个还提到了一个深透媒介化时代的青年自我意识与文化需求，所以我觉得分讲的有点。
[5:15.300,5:16.130,0]  是抽象。
[5:17.470,5:19.130,0]  但是我觉得这个这个。
[5:20.820,5:29.380,0]  就是新媒体这样的一种媒体，它也是促成了这种文化的一种生产，因为就是现在短视频时代。
[5:30.050,5:33.660,0]  这种玩抽象的这种行为。
[5:34.420,5:35.370,0]  啊，可以对。
[5:36.300,5:47.410,0]  短时间内给呃视频的观众带来就是比较大量的多巴胺刺激，所以我觉得这个也是非常符合现在啊。
[5:48.390,5:50.110,0]  这种新媒体的一种。
[5:51.200,5:57.060,0]  运作模式，所以这种我觉得这也是完全不像他风靡的一个原因。
[6:29.620,6:31.610,1]  然后那个设计那个。
[6:36.610,6:37.670,1]  产品那个。
[6:38.330,6:41.790,0]  就到时到家先讲讲。
