file: 海康_G02_有辅助_找搭子.m4a
***********************************result**************************************

[0:2.320,0:4.910,0]  看一下你们那个页面怎么开始。
[0:15.020,0:17.850,0]  什么我？
[0:20.020,0:20.400,0]  是。
[0:27.310,0:28.700,0]  那个是有2的。
[0:30.240,0:33.560,1]  一下，那没有上面的那就啊。
[0:33.610,0:41.780,0]  那你们三个再再重新刷新一下，三个一起再刷，刷一下那个有2的那个链接不是你的。
[0:42.330,0:42.730,0]  对。
[0:44.360,0:46.020,1]  帮我做，我也没人他们。
[0:47.080,0:50.900,0]  现以暂时停了，嗯，好，接下来重新开始了。
[0:51.520,0:56.930,0]  42分开始，可能你们要看一下计时，因为好像我的屏幕没有的话，它就停。
[1:1.130,1:1.890,0]  好听的。
[2:57.100,2:59.000,0]  你们都说提示，嗯嗯。
[8:38.150,8:43.980,1]  我们主要是两个因素，第一个是人的因素，就是现代人。
[8:44.720,8:48.490,1]  跟你前景非常不一样的就是他们现在可能就。
[8:50.040,8:59.440,1]  那也不是以前那种熟人社会，那种情感粘稠的社交，都是中处理出来，包括现在那种就是利人经济也越来越发达。
[8:59.840,9:1.150,1]  增加了很多事情。
[9:2.300,9:2.850,1]  可能。
[9:3.880,9:11.750,1]  比起找一个熟人做，可能一个人做的时候会更方便一点，这个对我来说其实也是这样子。
[9:11.980,9:12.590,1]  但是。
[9:13.690,9:17.720,1]  你有些事情你可能就不想一个人做，或者是没有办法一个人做。
[9:18.790,9:19.430,1]  然后。
[9:20.040,9:20.960,1]  这种时候。
[9:22.440,9:27.455,1]  就可以通过人与人之间这种共同需求去找一个。
[9:27.455,9:28.480,1]  就所谓的大。
[9:30.090,9:31.210,1]  我觉得这个是。
[9:31.960,9:34.610,1]  就是这个因素，然后第二个就是。
[9:35.320,9:41.700,1]  这种平台的因素，因为现在这种网络的发展，它可以，嗯，是的。
[9:43.020,9:50.530,1]  就是你通过共同的需求或者是共同的爱好去找，大致这件事情变得非常的高效，非常的便捷。
[9:51.650,9:53.040,1]  嗯，所以我觉得。
[9:54.010,9:59.510,1]  最后主要就是人人的因素，还有这种数字化平台的这种测试。
[10:2.780,10:3.420,0]  对，这。
[10:5.700,10:10.630,2]  就主要是为了很强的目的性，而没有必要就长期的。
[10:11.380,10:11.780,2]  哦。
[10:12.980,10:14.640,2]  交一个朋友，然后。
[10:15.220,10:17.300,2]  我来满足你的这些需求。
[10:25.430,10:30.595,0]  哦，我找了一下大家的文化，它这个关系下的有几点特征。
[10:30.595,10:34.050,0]  一个是以及完成某项活动为。
[10:34.480,10:58.650,0]  核心目的就是进升平需匹配需求，要么是一起吃饭，一起打球，或者一起去爬山，或者怎么样，然后他可以是一个一次性的应可以是一个持续的，也可以就是他并不是有一个长期义务感，就是刚好我们俩都可以，那就去，就是也不给，然后还有一个就是我不是可以去共享情感，就是说共享经力的。
[10:58.960,11:1.525,0]  我们就交流本身以活动本身为主。
[11:1.525,11:2.040,0]  然后。
[11:3.350,11:8.850,0]  就是基本上不太会深入暴露自我的一些信息，就非常的礼貌而疏离。
[11:10.010,11:10.590,1]  所以。
[11:11.480,11:12.420,0]  我是在想。
[11:13.360,11:15.890,0]  这种关系的特征。
[11:16.720,11:17.840,0]  大家现在是。
[11:18.620,11:19.170,0]  就是。
[11:21.260,11:25.200,0]  就是找达子应该不是一个特别难的事情吧？
[11:26.380,11:27.410,0]  在学校里面。
[11:28.720,11:33.920,1]  就是其实我觉得找到就是合理心意的班，其实也不是特别简单。
[11:34.150,11:37.520,0]  嗯，就是怎么要的搭理，我觉得不合心意。
[11:38.050,11:38.450,1]  哦。
[11:41.770,11:42.470,0]  就是。
[11:43.610,11:44.670,0]  可能有时候。
[11:48.010,11:52.260,1]  比如说我是一个不喜欢拍照的人，但是对方他就去旅游的时候。
[11:52.260,11:53.415,0]  他一直在拍照。
[11:53.415,11:56.880,1]  对，就是或人一直喊我给他拍照，然后就跟他说他话。
[11:56.880,12:2.660,2]  就是比较去去旅游的这种法子就比较可能比较难，但是你如果是。
