file: 海康_G11_有辅助_宠物.m4a
***********************************result**************************************

[0:0.000,0:0.920,0]  那就开始吧。
[0:16.120,0:20.010,1]  你有刚刚新的那个议题，能够发一下截图给我们吗？
[0:20.060,0:21.490,2]  我在微信上我可以。
[0:22.480,0:25.340,1]  我这个已经开始了，但是我这边没有显示。
[0:25.870,0:28.020,2]  哦，没了，现在系统也没改。
[0:28.020,0:34.940,1]  人看到了也只是搭子，就是可能要看一下微信上群里说的那个话题才是新的话题。
[0:37.600,0:41.640,1]  在群里哦，看到我再转发一次。
[0:41.640,0:42.980,0]  我过了好。
[0:43.150,0:43.550,3]  嗯。
[1:9.810,1:10.750,1]  丑卧底。
[1:27.790,1:30.830,1]  AI会比会比人更了解宠物吗？
[1:31.090,1:32.270,1]  感觉也未必的。
[1:34.060,1:36.590,2]  还是得需要一定的数据交。
[1:38.550,1:39.130,1]  而且。
[1:40.560,1:41.830,1]  去跟宠物交流。
[1:43.330,1:44.750,1]  人能做到吗？
[1:46.070,1:47.850,1]  就现在有知识能够。
[1:49.780,1:50.540,2]  这样的。
[1:51.790,1:55.400,2]  其实也就只是自己想的，你觉得他们在想什么吧？
[1:55.960,1:57.630,1]  不知道这种形式。
[2:3.490,2:5.570,1]  你们没养过兔子吗？
[2:7.780,2:8.600,1]  讲故事。
[2:9.690,2:10.870,1]  或者现在电脑。
[2:11.900,2:12.630,0]  就想要。
[2:13.320,2:14.980,0]  我觉得这个好像是。
[2:15.880,2:22.020,0]  嗯，AR工具就是帮助人和宠物交流，就是说那个翻译器就是。
[2:22.530,2:36.100,0]  其中一个就是人和宠物交流的语言，可能我们听不懂猫咪说话，听不懂小狗说话，然后如果有的人手里的数据比较的比较多，你就可以把像那种旺旺和旺旺旺。
[2:36.520,2:40.380,0]  大家可以翻译成小狗，它想对人说的不一样的话。
[2:40.940,2:51.570,0]  他嗯，他的，我觉得他他的重重点应该不是说更好的理解宠物，应该是帮助人和宠物跟交流，我我我的侧重点在主要看了那个翻译器。
[2:56.370,2:57.940,1]  不知道翻译器有用吗？
[2:58.410,2:58.810,3]  嗯。
[3:1.240,3:3.315,1]  就是从网上刷到的时候。
[3:3.315,3:6.470,0]  就是我还没有刷到这种成品的翻译器。
[3:7.040,3:16.630,0]  我有刷到那种，就是像类似于地毯，你可以按一个按钮，就是帮助宠物跟人说说话，比如说人喂饭，然后菜好玩。
[3:17.220,3:32.030,0]  那种之类的话，因为有的宠物它很聪明，它可以理解人说的话，一些一些指令，但他没有办法用小狗的语言去回，就是就是他，他小狗的语言，他说出来，人类没有办法。
[3:32.380,3:40.200,0]  听懂，所以就需要一个中间的工具来帮助双方之间就打破这个沟通的隔阂。
[4:3.080,4:4.020,2]  好问题。
[4:7.870,4:14.690,0]  就就比如说我们这个疫情里面，你觉得呃对哪一句话有引气的理解。
[4:14.890,4:28.250,2]  但是我觉得人生关系越越发愈发情绪化，什么东西，我觉得现在网上博动的确是很喜欢把生物建之间的互动变成整个故事，但实际上他根本就可能不是。
[4:28.840,4:34.580,2]  这这是真实的，但是就是可以通过各种剪辑，我们把它变成这个样子。
[4:36.470,4:42.300,2]  但是他让我们，但是我们也要探讨的是人宠关系的心理成因与社会背景。
[4:42.760,4:43.290,2]  然后。
[4:44.190,4:52.360,2]  为什么会有这种人种关系，就怎么是怎么会从宠物上获得情绪价值了，然后的什么社会原因？
[4:52.690,4:54.920,2]  我也不知道为什么，再查一查。
[4:57.520,4:58.950,2]  人关系的。
[5:6.450,5:20.140,0]  就比如说呃，刚才刚才杰西ICA提到了之前有没有养过宠物，你呃，你是刚刚是不是想说你当前之前养宠物的时候有一些自己的想法，不敢想对。
[5:21.330,5:21.730,3]  嗯。
[5:22.530,5:24.670,1]  算是，因为我家的宠物挺多的。
[5:26.590,5:27.110,2]  加了1。
[5:27.550,5:30.410,1]  嗯，我加了40多一只猫米。
[5:31.460,5:32.010,1]  然后。
[5:33.050,5:36.750,1]  然后就是，嗯，我家人还会偶尔做救助。
[5:37.890,5:47.410,1]  就是做主要是做火锅的救助，然后就是把料酒收集起来，然后放到那种救助基地这样子。
[5:47.980,5:48.380,3]  嗯。
[5:48.580,6:0.860,1]  在这个过程中，就我看着他们其实挺辛苦，嗯，因为因为嗯即使他们经常每天跟种，嗯也不一定算宠物，就觉我觉得流量。
[6:1.660,6:7.070,1]  流浪物的宠物跟宠物还是有一点区别，就即使他们每天跟动物打交道。
[6:7.090,6:8.030,2]  外面也很难。
