file: 海康_G22_有辅助_抽象.m4a
***********************************result**************************************

[0:0.730,0:1.130,0]  好。
[0:13.480,0:14.780,1]  可以AI是吧？
[0:16.800,0:17.195,0]  啊。
[0:17.195,0:23.950,1]  最好是就是不用还是刚才一样的要求，对吧，就用网页搜索不需要并不是。
[0:24.820,0:25.650,0]  I would be.
[2:38.160,2:41.990,0]  1菜未发芽比例点点UI。
[2:49.470,2:50.230,0]  可以睡觉。
[2:50.400,2:51.220,1]  没看到我。
[3:0.190,3:0.680,1]  晚安。
[3:7.100,3:7.500,1]  嗯。
[3:9.390,3:10.270,1]  什么意思啊？
[3:15.670,3:21.920,1]  发言好，我发言，我觉得搞抽象，我已经把这3点写上去了。
[3:24.030,3:25.510,1]  幽默是最高级。
[4:36.060,4:36.460,0]  哎。
[4:38.190,4:41.320,1]  好好笑，这个我不想分享给大家。
[4:42.660,4:43.870,1]  这个是不是没开。
[4:47.700,4:51.430,1]  没看明白啊。
[6:52.610,6:54.330,0]  我可以没2分钟。
[6:55.260,6:59.320,0]  Special way be visible. 然后他是不是就不会提供了。
[7:0.870,7:3.070,1]  可以自我调节一下那个体型。
[7:50.890,7:53.450,1]  谁说的豆浆看一下。
[9:22.650,9:24.430,1]  哦，这个火眼金睛我看到。
[13:19.780,13:22.250,1]  大家时间差不多，过快明白。
[13:25.550,13:28.560,1]  我觉得，我觉得我3点非常好的同学。
[13:29.940,13:31.990,0]  幽默是最高的防御机制。
[13:33.900,13:35.980,0]  哦，抽象就是幽默。
[13:38.750,13:40.300,0]  圈子番号不足。
[13:40.300,13:42.210,0]  失败的曲业社交不。
[13:44.200,13:45.060,0]  在去做推。
[13:46.980,13:47.650,1]  洒脱。
[13:48.030,13:52.960,0]  嗯，就有的时候真的会看到那句话，然后发生那些冷笑笑。
[13:55.430,13:59.430,0]  你要给生活进行建筑抽象，是一种享受的生活。
[14:0.740,14:1.290,0]  是的。
[14:1.580,14:4.080,1]  我很认同，看看他有没有什么补充。
[14:16.310,14:16.890,0]  这是。
[14:28.820,14:30.160,0]  还有一个抽象。
[14:30.160,14:30.960,0]  现在已经。
[14:31.630,14:32.150,0]  就是。
[14:33.320,14:35.610,0]  变成了一个吸引注意力的一个。
[14:36.840,14:38.440,0]  形式就有的。
[14:39.360,14:39.970,0]  那种。
[14:41.040,14:44.860,0]  某个地区的旅游宣传部啊，他们会。
[14:45.920,14:47.310,0]  故意做这种视频。
[14:47.390,14:48.330,0]  这样一个。
[14:49.390,14:50.930,0]  6060后的一个。
[14:53.130,14:54.700,0]  比较高级就是。
[14:56.510,14:59.820,1]  就是文理局他们你是想说那种吗？
[14:59.900,15:4.890,0]  对，就特别抽象的那个视频来信。
[15:5.330,15:8.040,1]  我觉得他就是为了特别种抽象文化。
[15:8.370,15:10.660,1]  小哥会看，看到他们。
[15:13.190,15:14.400,0]  那还有比如说这个。
[15:16.430,15:17.280,0]  火眼金睛。
[15:18.220,15:19.820,0]  黑暗自动自动挡位。
[15:20.900,15:22.350,0]  还有像之前有一个。
[15:23.370,15:26.200,0]  白颜色的脑子，嗯，拍下自动调脑子。
[15:26.370,15:26.770,1]  嗯。
[15:27.740,15:29.275,0]  就是抽象快件。
[15:29.275,15:30.000,0]  现在已经。
[15:31.870,15:32.270,0]  跟。
[15:34.430,15:35.070,0]  消费。
[15:37.290,15:38.860,0]  市场绑定了。
[15:41.200,15:41.780,0]  是的。
[16:0.180,16:3.820,1]  你就仔细个这几个字图表就行。
[16:11.710,16:13.130,1]  就你刚说的那些话。
[16:37.640,16:41.940,1]  但是这个智能工具真是搞抽象文化，我没有找到什么。
[16:43.720,16:47.750,0]  做一个论坛，就专门的论坛放抽象的文案。
[16:48.520,16:51.140,1]  就没有找到市面上的什么资料。
[17:26.360,17:28.650,0]  方向的关键功能。
[20:0.840,20:2.050,1]  产品方面有什么？
[20:2.950,20:3.770,1]  啥东西？
[20:4.930,20:8.450,1]  我看到有一个叫做抽象化生成。
[20:9.240,20:11.390,1]  为什么输入你的个人？
[20:16.700,20:19.240,1]  他的作文不是毫无get的到。
[20:19.240,20:20.640,1]  他深出明白。
[20:21.560,20:22.740,1]  已经收上了。
[20:23.280,20:30.880,1]  对，那他这个网站并没有做的很好啊，没关系，你可以就是就是是一个ID，对对对，就是。
[20:32.810,20:39.570,1]  但是我我我没有找到什么，但是我有一个在小红书里感受到的，就是他现在的评论区不是。
[20:40.570,20:46.550,1]  可以一键翻译人家的那些奇奇怪怪的文字，翻译出来其实是正常的文字。
[20:47.720,20:49.200,0]  你好哦。
[20:49.280,20:54.300,1]  就刚刚这小说好玩还香，
[20:56.750,21:7.260,1]  他还可以把你的nb ti输进去，小数一键翻译就可以翻译出来你对应的是什么样动物，对应是什样的包，就类似于拼。
[21:9.430,21:28.940,1]  然后他现在呃还可以，还可以你输入你的方言的字在里面，它就呃可以识别出普通话那种，然后很多人就就喜欢在评论区搞抽象，然后就就讲一些很好笑的话，然后呢，那小红说的那个翻译，看到那个翻译出来就去。
[21:30.090,21:30.790,1]  白话。
[21:31.290,21:32.800,1]  我觉得也挺好玩的。
[21:33.920,21:35.460,1]  第4是是相状。
[21:37.360,21:38.900,0]  哦，之前有就是。
[21:39.910,21:41.960,0]  我做一个APP。
[21:42.950,21:44.280,0]  就是最优。
[21:45.350,21:45.750,0]  牛。
[21:46.760,21:56.220,0]  最右抽空，嗯，它里面有一个工作，就是一个类似于呃字典一样的东西。
[21:56.760,21:57.980,0]  我会把那个。
[22:1.360,22:2.000,0]  就是说。
[22:2.860,22:3.750,0]  YYDS.
[22:4.840,22:10.160,0]  做成一个类似于一键插找的功能，把这个O碟子出进去之后。
