file: 海康_G32_无辅助_找搭子.m4a
***********************************result**************************************

[0:0.190,0:1.820,0]  好，开始开始吧。
[0:11.170,0:12.920,1]  化后的理动力。
[0:15.680,0:17.070,0]  这东西便宜啊。
[0:17.210,0:19.690,1]  是啊，我感觉最直接的就是一个团购。
[0:19.690,0:20.500,0]  这经济上的。
[0:20.500,0:28.690,1]  这个最接直接的原因就是最直接的客观原因，就是因为需要团购，要拼单，客网不是很多清单群吗？
[0:28.690,0:30.000,1]  客网会加了很多品台。
[0:34.360,0:41.450,0]  哎，你们上一个来件，他没有出这个蓝色的这这一部分，所以我们没有选择支持你自己有的是。
[0:47.090,0:50.670,1]  还有啥啊，他说这种是临时结算，不求申请。
[0:52.850,0:56.850,0]  啊，我跟你刚刚说那个评价就很临时对吧，这个临时。
[0:57.780,1:5.740,0]  人家都是那个所罗里下天的，就我觉得我第一次看到的时候，我觉得好是至出什么好马的一个麻薯，然后我大他讲完了，
[1:6.960,1:16.300,0]  很多啊很多呀，我经常因为太大那一盒，尤其是咱们附近周围这些商，这些商就是能买到，就河马山品，其实河马还好，但山比该比是大。
[1:18.840,1:20.150,0]  拼拼单。
[1:20.150,1:21.460,0]  然后经济。
[1:24.740,1:42.840,0]  这确实对，这主要是旅游，也是国内的这个酒店价格和青旅价格其实差不太多，就是反而你住酒店能获得更好的这个旅主的体验，而且你吃饭也是在在这儿还好，如果去东北，一个人点一一道菜就够了，你就不用吃别的了，就吃饱了。
[1:43.280,1:53.230,0]  就是可能是本身这个社会就是给予的这种就是各种提供的经济，或者提供的各种服务，也都是以家庭为单位的。
[1:54.480,1:59.050,0]  就是没有一个人，就像比一人时那种那种settle头就很少啊。
[1:59.410,2:25.310,0]  所以你就个是捕捉到的，就是说我们的社会的这种关系的这种结构却实在发生改变，但我们的商业供给的这些产品和服务却没有相应的改变，导致我不均衡的情况下，我们自己找几个方去，我找搭，这对如果去国外的话，你会发现菜单上很多就会有那种套餐，然后对他给你搭配的很好，就是米饭呀，或者是主主食，然后还有有特色菜的special都会就是少量的。
[2:25.750,2:35.720,0]  蹦蹦迪，就是点一份菜，可能就会把这个餐厅的一部分的，就是也比较独特的东个都吃到，这会西就还好一些。
[2:36.320,2:37.420,0]  你没有那么多遗憾。
[2:44.610,2:46.540,0]  哎，其实我好像没什么大的。
[2:48.000,2:50.195,0]  没有打我约龙山。
[2:50.195,3:4.810,1]  他是因为我一般爬山，我可以约个约个人去爬，因为那种一般就因为我是爬的是那种野山，然后一般就三四天在那个脚下的，主要就是怕我一个人挂在身上，就是就这个两不走不两步路，
[3:6.060,3:11.620,1]  那在这里就是安全衣素，就是要你找个人跟你什的话，可防止自行这个失眠了。
[3:12.030,3:21.610,0]  哎，但是在国外你要说走四国边路，或走那个穷野古道，或者走那个顺那个呃生涯的路，他其实走这有很多都是个人。
[3:22.440,3:48.760,0]  可能他们大部分其实就是一个人，甚至就是他们那么大的，其实文化更明显就是在路上就一找一个人，然后你们聊一路，可能到一步会以后，第二天就不见了，然后或者说你可能若干天之后，你在某个地方突然发现他了，就是你可能节奏不一样，但是在就在某一段路里，你可能遇到，然后就成为一个朋友，或是聊天或者怎么样，然后再是后来马上就遇到了，就这样听还挺。
