file: 海康_G41_无辅助_抽象.m4a
***********************************result**************************************

[0:0.000,0:2.980,0]  你的页面先滚下去。
[0:5.540,0:7.820,1]  你们应该能看一些任务吧。
[1:6.160,1:14.570,0]  嗯，后面就是这半个小时，我们可以进行讨论，对对这个资料搜索，然后进行讨论，主要是讨论。
[1:14.570,1:15.800,1]  讨论。
[1:29.540,1:33.990,0]  看好听，嗯，这个看到啊。
[1:33.990,1:35.110,2]  可以，嗯。
[1:35.110,1:48.640,0]  那我们讨论一下，嗯，就是那他这个任务应该是最后两个点吧，一个是要思考这个的心理问题，就是分析这种现象背后的本质。
[1:48.640,1:54.500,0]  然后第二个点是说，我们需要思考出一个智能工具。
[1:55.600,2:2.440,0]  那我们先看一下第一个吧，就是分析一下这种搞出像背后的心理动机。
[2:2.860,2:21.860,0]  嗯，我觉得可以先可以先先看一下当前就是网络上热议的一些词汇，就是一些老抽上的一些词汇，然后从这些词汇上去搜索一些相应的这种用户的特质，然后看一下他们大概是什么样的年龄群体，然后。
[2:21.860,2:24.900,0]  就是根据具体的实例来。
[2:25.160,2:28.220,0]  大家讨论一下会比较好，对对。
[2:28.220,2:37.540,1]  是就是目目前是需要知道这是什么，是他这个抽象的，呃，大概定义是大概是什么意思。
[2:38.040,2:47.260,0]  你们你们就是有在网络上接触到过一些老师项目，就比如说这种应该会出现在微博上，有一些有印象的。
[2:48.920,2:51.290,1]  进微博或者是贴吧。
[2:51.290,2:53.640,0]  就是具体一点的事情。
[2:55.560,2:59.840,1]  比如说那个。
[3:2.560,3:5.460,1]  贴吧里面的钉针。
[3:6.100,3:8.340,1]  认定算抽象。
[3:8.580,3:16.720,0]  我也忘了那个是什么，我有我有点印象啊，我有点忘了，我看一下他的知乎上有一个那个。
[3:16.720,3:20.860,0]  可以先搜一下那个搞图像，它应该会有一个。
[3:24.620,3:30.380,0]  因为现在很多那种就是年轻人的词汇上会比较多。
[3:37.320,3:44.820,0]  啊，就是有，就拿我附近，就是拿我附近年龄段的同学来讲啊，他们说的话比较多的是，比如说。
[3:44.820,3:56.440,0]  嗯，遇到一些他们解决不了的事情，或者很无奈的事情，他们可能会说我，我没有招了，这种我觉得算有点点算。
[3:56.840,4:0.760,0]  但是就是他们用一种比较滑稽。
[4:0.760,4:3.280,0]  或者比较，嗯。
[4:3.540,4:5.700,0]  怎么说呢，比较。
[4:6.300,4:16.660,0]  轻松的语言去表达出自己的那种不满与无奈，但实际上他们对这个事情的内心是其实是很抵触或者很。
[4:16.700,4:25.840,0]  就对这个事情的发生可能很难受和抵触，但是他试图用一种很轻松的方式去表现出来。我觉得这个算是。
[4:25.980,4:31.395,0]  一种高手像就是比较符合他这个任务给我们的那种感觉，嗯。
[4:31.395,4:33.140,1]  我不能理解这个意思。
[4:33.200,4:47.600,0]  他相当于说他在表达与保护之间是在寻求这个平衡，就是他这个话又不会说太直白，但是因为能表达出说我对这个事情的不满的那种诉求，我觉得可能像这个具体是因为比较符合。
[4:47.600,4:51.160,0]  这个高抽象的，嗯。
[4:52.340,4:55.700,2]  这个就跟前段时间有一个。
[4:56.080,4:59.340,2]  好像，呃，刚刚看到反诈人员。
[4:59.340,5:7.010,2]  就是让他在这个，让他布置他一一项工作任务，他直接在微信把那微信截图发到这个外边宣传哦。
[5:7.010,5:9.320,1]  那什？
[5:9.540,5:19.840,2]  直接然后把那个他那个领导，然后看看说话的内容，要求做什么东西，达到什么效果，然后截图直接截出来这个宣传些。
[5:21.320,5:23.880,2]  是不是这样，就是把抽象里面。
[5:24.140,5:25.640,0]  这这个是。
