file: 海康_G51_有辅助_搭子.m4a
***********************************result**************************************

[0:11.680,0:12.990,0]  就是讨论的时候。
[0:14.230,0:16.880,0]  对，以讨论为主，然后记录为辅。
[0:19.550,0:24.120,0]  可以搜索，可以记录最后输出大几。
[0:25.450,0:29.720,0]  也可以直接搜，对就在这个上。
[0:36.500,0:38.430,0]  这你说现在说对对。
[0:42.030,0:44.320,0]  在在这里新建一个看去做就可以了。
[1:28.050,1:30.400,0]  你们都可以说话提示吧，你听。
[1:37.250,1:40.860,0]  是口头禅还是在上面写的东西，还是？
[1:41.630,1:50.640,0]  就写的搜索是辅助，主要是要多哦，我以为是要生活会，一是我们讨论。
[1:51.650,1:52.050,1]  对。
[1:52.160,1:53.490,2]  只要多多搞。
[1:53.870,1:54.270,0]  嗯。
[1:55.120,1:58.140,0]  要不我们先再过一下这个任务的议题？
[1:59.050,2:0.500,0]  自己没有什么想法。
[2:4.170,2:8.980,0]  你先过一下今天的这个议题，就是今天约搭子了吗？
[2:9.920,2:12.150,0]  听社交时代的。
[2:12.720,2:14.470,0]  关系及范式。
[2:16.740,2:17.140,1]  嗯。
[2:24.470,2:44.940,0]  嗯，我想问一下，你想以前你有没有过这样子的越大子的经验，然后你自己是怎么来理解的，我感觉大家可能在上学或者是上班的时候，感觉应该都会有发子，嗯，去上学的时候，比如说一起去厕所，一起写作业，一起。
[2:45.700,2:55.310,0]  去玩什么的，然后如果是在上班的话，可能这个大家子就是主要是可以和你一起讨论一下，或者是一起去。
[2:56.070,3:1.480,0]  一起吃饭，或者是下班之后一起去逛一下，这种上班的样子。
[3:2.060,3:2.460,1]  嗯。
[3:2.930,3:4.920,0]  但是8的感觉。
[3:5.990,3:7.410,0]  他也不是一种。
[3:8.200,3:15.110,0]  朋友的关系吧，应该就是让我们做什么事情有一个一淡那种感觉。
[3:15.130,3:21.620,2]  嗯，就是有可能后面就是感觉自己聊得来，或者是就可能就变朋友了。
[3:22.930,3:34.730,0]  所以我理解你们两个应该都是把大致当做一个，先是呃，有一定功能性的陪伴和交往，然后后续再延续发展成能会有一些情感的这种连接。
[3:34.870,3:35.960,0]  对哦。
[3:36.250,3:36.650,1]  那。
[3:37.840,3:38.240,1]  嗯。
[3:39.580,3:45.315,0]  那像厨艺，厨艺你你现在是CMA的研究生。
[3:45.315,3:48.890,2]  不是不是就是过了暑期实习哦哦。
[3:49.060,3:55.980,0]  那你觉得在你从一个地方学到一个新的环境，大致对于你来说是什么样的？
[3:55.980,4:19.190,2]  我觉得比如说如果你像我这实习，我是友跟我同学一起过来的，可能就没有那么孤独很多，就是可能就是就是一个人来的，然后可能就先出来读啊，我是爱，然后一人的话，我觉得可能就是可能会主动去跟别人先交流交流，不好交流就换下一个人吧，然后就是这样子慢慢聊天，可能后面就成为朋友，就成为妲己这样子。
[4:19.380,4:22.100,0]  哎，以前的艺人都知道，大家都还是挨人。
[4:22.660,4:29.180,2]  挨人的话，其实我感觉他们会阻拦，不光丢我就没那么多勇气的感觉，其实啊。
