file: 海康_G62_有辅助_抽象.m4a
***********************************result**************************************

[0:0.000,0:9.680,0]  然后他弹出来的说你说也可以看一下什么好了，现在刚才大概28开始。
[0:10.860,0:13.960,1]  这个。
[0:16.900,0:19.860,0]  这个任务一直提示不是没有。
[0:21.060,0:25.320,0]  没有看到吗？没有看到可能你要看一下用的。
[0:29.760,0:32.460,0]  那目前呢，第二就是搞抽象。
[0:33.960,0:36.570,1]  就是现在换了一个课题，换了一个，对对。
[0:36.570,0:39.525,0]  对现个，那我们说一下你们。
[0:39.525,0:42.960,1]  也可以，也是要你要根据这个抽象开发一个平台。
[0:43.760,0:47.860,0]  啊对，你看一下我们可以表达抽象的一个工具。
[0:49.060,0:51.980,1]  从小。
[1:56.200,2:1.870,0]  对，你不要按太多设置，我怕你把我的设置代表设置那里尽量不要来，不是我我。
[2:1.870,2:6.420,1]  想返回他怎么返回，我双击文双击。
[2:7.360,2:9.600,0]  你们可以做到吗？
[2:10.120,2:14.520,1]  你就是刚才打开提示它好不容易英会记不住。
[9:3.020,9:10.820,0]  那个大家可以随便聊聊，不用太关注，最好的深度，可以随便发言一下。
[9:14.060,9:20.660,1]  啊，这种出现好感也不是很这种我感觉还是。
[9:20.660,9:30.860,1]  那种小众文化的一种表达形式吧，就可能在个人的生活中有一些好的，或者遇到一些坏的可能。我理解还是大多。
[9:30.860,9:32.960,1]  偏向于。
[9:33.860,9:38.960,1]  中性偏下的一种形式弊端的情况下，然后。
[9:38.960,9:41.440,1]  搞的一些行为艺术。
[9:42.740,9:45.600,1]  或者是更说引起。
[9:45.600,9:50.360,1]  更好的引起别人的一些关注，或者获取一些自我的成就感。
[9:50.840,9:52.280,1]  用抽象。
[9:52.580,9:57.220,1]  也不一定对啊，因为我只会人，很少用那种抽烟的。
[9:58.240,10:3.020,0]  这个就是非常直观，我觉得就差不多就是。
[10:3.300,10:5.020,0]  The.
[10:5.020,10:15.920,0]  呃，我我上面写的都是我在文献里面找到的嘛，然后我个人就是不看文献，然后纯粹就是自己体验的话就是。
[10:16.220,10:30.000,0]  觉得搞出那就是大家就是确实就是一种幽默的交流方式，然后另一方面的话就是呃，搞出像作为现在网络流行的一个，就可能大家就是纯粹的。
