file: 海康_G81_无辅助_抽象.m4a
***********************************result**************************************

[0:0.000,0:1.550,0]  现在开始吧，对。
[0:1.550,0:4.820,1]  是正式的。
[0:5.260,0:7.660,0]  那你们应该能接到任务。
[0:9.400,0:12.805,0]  呃，中间有那个时间到底是30分钟好。
[0:12.805,0:13.790,1]  嗯。
[0:13.790,0:16.100,0]  你们可以约个时间发过来。
[0:16.100,0:19.220,0]  然后编辑包的话，最好不要太多的就是。
[0:19.400,0:22.925,0]  就就就顶天了。你们。
[0:22.925,0:24.080,1]  好。
[0:24.080,0:25.320,1]  不长。
[0:25.480,0:29.980,0]  一些简单的观点可以开发。
[0:33.440,0:36.320,0]  搞点抽象的时候，就先进的数。
[1:39.140,1:42.960,2]  我们是一起讨论对这个的看法。
[1:42.960,1:54.620,2]  呃嗯，对，有上面的两个产出的要求，还有任务要求，其实你可以按你们自己的理解去讨论就好了，你就不用太在意。
[1:54.660,1:56.180,0]  好。
[2:49.100,2:52.160,0]  呃，我们需要在工作区里面去填什么？
[2:52.160,2:57.080,2]  这不是公共区，你们是自己在自己的框框里面填，然后另外两个同学可以看到。
[2:58.200,3:4.400,2]  就是你们应该进行共享的一个也是，但是最后你们的观点是尽量三个框都是一样的。
[3:10.340,3:18.800,2]  就感觉现在很多这种搞抽象，就是有的时候也是释放压力的一种途径。
[3:20.220,3:21.600,1]  你。
[3:25.160,3:37.540,0]  嗯，就这个整个流程的话，就大概也就是10分3分钟吧，可能就看什么是这个搞抽象，或者说就是就是大伙如果说在搞抽象的时候，他一般会呃。
[3:37.540,3:54.560,0]  表现形式是什么样，可能就是说吧，然像那个表现先先说，然后再去再去探究一下那方原因嘛，然后最后再再再就看右边那个，就大概一个国务单里面会就是怎么怎么帮他去去去做那个高抽象相关的这个内容。
[3:55.900,3:57.540,0]  这3部吧。
[4:6.100,4:11.570,0]  嗯，你们你们会不会会看那种抽奖。
[4:11.570,4:13.880,3]  看到。
[4:14.100,4:19.940,3]  按他这个事例的话，就是我提出一点我的发现就是。
[4:19.940,4:22.300,3]  呃，现在那个，呃。
[4:22.300,4:32.580,3]  这个问题包括短视频平台上面的那个用户，对于就是说那个抽象内容的接受度可以说是越来越高。
[4:32.680,4:43.640,3]  然后就是根据呃以往的使用体验，就是可能早几年呃，有有一些特别出格的行为，或者说那个。
[4:43.640,4:54.020,3]  呃，特别反常的一些视频的话，大部分用户是难以接受的，然后现在的话会你会看到特别多这种。
[4:54.860,4:57.500,3]  导致品也好，包括这个。
[4:57.500,5:3.240,3]  呃，创作者也好，其实甚至是有固定的那个收入群体。
[5:5.900,5:9.600,0]  那你你平常会不会看，就是那种主要视频。
[5:10.140,5:11.700,2]  主要是。
[5:12.080,5:16.120,2]  就是偶尔刷的时候可能刷到过一两个。
[5:17.020,5:22.560,0]  那看我，只有我这吃屎大王。
