file: 海康_G82_有辅助_搭子.m4a
***********************************result**************************************

[0:0.500,0:0.900,0]  对。
[1:30.070,1:30.470,0]  嗯。
[1:31.570,1:33.440,0]  你们，你们有没有打死？
[1:34.760,1:35.850,0]  看大之类的。
[1:36.940,1:37.340,0]  嗯。
[1:40.410,1:40.810,0]  嗯。
[1:42.420,1:51.520,1]  不会专门去找这个大子，因为感觉自己跟朋友们就是每一个都都是我们互相有对方的3拉的巨大的运动大玩大。
[1:52.090,1:53.970,0]  就是他更多其实是一个朋友的身份。
[1:53.970,1:55.100,0]  只不过就是。
[1:55.640,1:56.260,0]  比如大家。
[1:57.090,1:58.390,0]  漂亮一个。
[2:0.130,2:7.580,0]  一个复合的，复合的这个标签就就组变成一起，反正就那那那就融合，就比如是咱一般的。
[2:12.180,2:16.300,1]  那我们之前好像找过打车的单子哦。
[2:16.470,2:17.710,0]  拼车对。
[2:18.000,2:19.300,1]  那比如说我们要去。
[2:20.180,2:31.950,1]  呃，万达，因为这实在是太偏了，然后我们有的时候人少，我就会就大家一起打车过去啊，但是到了那边大家可定要一起游玩或者一起吃，可以自己干自己的事情。
[2:32.480,2:38.220,0]  但是这个是属于固定频率的呢，还是单只是单单次的一次。
[2:38.740,2:39.140,0]  哦。
[2:41.000,2:42.810,0]  不是说合这个固定的这个人。
[2:43.830,2:50.200,0]  比如说和你和你拼车，那个人就是总和你平常就只只是说就赶上，就是说发布一条什么什么。
[2:50.870,2:57.390,0]  有有没有空，比如说想要去万达，我拼个车总批呀，就走走，是这个人对。
[2:58.910,3:1.170,0]  那你那是，那那是是什么平台啊。
[3:4.910,3:5.580,1]  巨大。
[3:23.680,3:26.570,1]  并且现在这种单子的话。
[3:27.410,3:33.120,1]  确实蛮重的，我感觉我身边最有可能就是女性朋友觉得嘛，然后。
[3:34.300,3:34.700,0]  嗯。
[3:36.000,3:45.830,1]  大家有的时候都可能会偏嗨一点，然后如果太多了去睡觉的话就很有压力，可能睡觉的时候就这整天都很。
[3:46.490,3:51.450,1]  没有活力了，然后这种搭子其实就蛮好的，是短暂的社交一下，然后就拜拜。
[3:51.980,3:52.500,1]  所以。
[3:53.650,3:54.200,1]  但是。
