file: 海康_G91_有辅助_搭子.m4a
***********************************result**************************************

[0:0.920,0:2.310,0]  那我们可以开始。
[0:5.820,0:9.400,1]  然后这种是屏幕中间有倒计时，你们注意把控一下时间。
[0:10.130,0:12.100,1]  在到计时完结束之前。
[0:12.100,0:12.870,1]  我分钟。
[0:49.260,0:51.460,0]  好的是3号同学看。
[0:54.340,0:56.910,0]  A fo for contain and gone.
[0:58.790,1:3.030,2]  也许吧，你下你现在。
[1:18.760,1:19.640,2]  也查不了。
[1:22.780,1:25.670,0]  你们可以按你们节奏，反正完成任务就可以。
[1:35.970,1:37.060,3]  就是这两个任务。
[1:57.280,2:1.465,2]  我们的资料也必须得是，就是正儿八经学。
[2:1.465,2:8.850,1]  其他的不用不用不用学，我原来题去写对，或者说你自己脑子想出来，打篮球就习。
[2:11.040,2:15.040,1]  然后写的更长的话，你可以直接粘一个立上去，不用把这个写的没有太长。
[2:21.050,2:23.640,0]  然后你们讨论的时候声音可以大一点。
[5:12.140,5:14.140,3]  这提示这个我。
[5:15.580,5:16.920,3]  他保的，嗯。
[5:18.170,5:20.970,0]  可以收到之后可以关注哦。
[6:41.320,6:42.890,2]  二三。
[9:52.310,9:55.590,0]  朋友查的差不多可以过。
[9:58.570,9:58.970,3]  OK.
[10:10.360,10:11.360,2]  我说一下。
[10:41.460,10:54.850,4]  我在找那个妲子文化的时候，我同时看到了关于那个壁雷妲己的帖子，我主要还是在小红书们找下他的，然后他们壁垒的帖子里面大多数是以一些。
[10:55.610,11:0.030,4]  一些骗子的形式出现，就比如说我感到被冒犯了，或者说。
[11:0.900,11:1.300,5]  呃。
[11:1.440,11:6.730,4]  争执不下，或者说他们的目的并不是原本想说的吃饭的目的之类的。
[11:7.260,11:8.980,4]  这就是我想要的另外一个点。
[11:9.940,11:12.470,2]  就是借着巴斯的名义去。
[11:14.210,11:15.090,3]  是的，对。
[11:16.080,11:18.070,3]  还有这个灰色的产品。
[11:19.120,11:24.680,2]  其实也是业绩驱逐良壁，就是这种人多了，大家也有朋友相信下设是。
[11:28.640,11:30.270,2]  所以它的来源上，其实。
[11:31.160,11:37.510,2]  因为我看到有一个就是说，像其实10年前，20年前的麻友驴友其实也是一种打子。
[11:37.830,11:41.240,4]  什么是麻友驴友，那个麻友就是那种打麻将。
[11:41.240,11:47.140,2]  三缺一叫我过来那种麻将，就光光友块打麻将的，然后驴友就是那种一块旅游的那。
[11:48.080,11:55.480,2]  就那些感觉，10际上10年前就有，其实本身上也是一个爱好，是现在我现是更心了。
[11:56.350,11:57.620,2]  就到各个城市。
[12:3.170,12:19.440,3]  因为不是我是觉得是我可可能就是跟现在这种工作压力，就是大家每天大部分时间都在工作，然后可能平时就是大家身边的同事可能也不怎么一起玩，然后。
[12:20.180,12:26.830,3]  这个时候就会比较寂寞，然后在网上找这样的有风爱好的大夫就是可以。
[12:27.750,12:28.150,5]  啊。
[12:28.320,12:31.390,3]  更好的来平衡自己的生活吧。
[12:34.010,12:45.060,2]  那就等于是传统的社交关系是那种先成为朋友，然后再去找有没有共同点，现在大陆同是直接去找，有个共同点，找到以后再看有没有可能成为啊。
[12:45.590,12:46.590,6]  嗯，对。
[12:58.800,13:1.480,4]  你们是不是还要讨论那个，要设想出一个产品。
[13:3.170,13:3.570,6]  嗯。
[13:4.190,13:6.330,4]  那是第二个任务，还是现在就要解决。
[13:10.330,13:21.710,4]  哦，我们每次种的我在想，如果结合我们刚刚所说的那几个点的话，就比如说他可能会有一些潜在威胁，或者说他的目的不存对。
[13:21.820,13:25.340,2]  但是这个感觉就是平台也很难去。
[13:25.600,13:31.640,4]  很难结对，那如果是这样子的话，我们能不能设想出一个产品，然后通过实名制。
[13:32.060,13:44.410,4]  并且每一次建打子之后给这边人评分，然后就可以看到的新运程度，这样子的话就避，也可以避免他再用其他的账号再来注册同一个同一个平台，嗯。
[13:44.580,13:53.570,4]  我就做一个这样的产品，然后如果他兴趣很低，或者说他的评分很低的话，我们以后就是大致就不会跟他再有联系了，嗯。
[13:53.740,13:58.760,2]  是的，但是对你会有那种偶然情况，就比如说我第一单遇到的对方就是。
[13:59.520,14:5.530,2]  就对方比较以自我为中心，所以他的体验上去觉得我的分很低，然后这样的话我一开始就低分。
[14:6.200,14:7.720,2]  也会有这样波动。
[14:12.820,14:13.340,4]  是吧？
[14:17.780,14:20.400,2]  所以感觉还是很难完全杜绝。
[14:20.780,14:21.660,2]  所以大部分。
[14:22.240,14:23.700,2]  从最大程度上讲。
[14:25.240,14:29.790,3]  就像点外卖，网购也是一样的，你喊拿钱都可以给人看。
[14:30.250,14:33.380,2]  因为互评肯定就可能会有这种恶意刷屏。
[14:34.550,14:34.950,5]  啊。
[14:34.970,14:37.920,2]  就是比如玩过时我不爽，我就故意给你打低分。
[14:44.480,14:45.960,4]  有打击中申诉。
[14:47.360,14:52.650,2]  那就那那就只要是玩的过程全程记录才有一种是吧，那就又。
[14:54.220,14:54.620,2]  各。
[14:56.190,14:56.590,2]  嗯。
[15:6.180,15:6.940,2]  所以就是。
[15:7.850,15:20.070,2]  原因上差不多就确定了，就是嗯，因为当前就是社会的压力比较大，节奏比较快，然后大家就是决定先去针对性的找共同点，然后再尝试发展。
[15:20.500,15:25.680,2]  就这样既能够精准定位，然后又不需要去付出太多的时间精力去社交。
[15:26.150,15:26.550,6]  嗯。
[15:30.300,15:34.270,2]  然后基于这个情况再去研发产品。
[15:35.340,15:36.860,2]  的是情况。
[15:38.630,15:39.300,2]  当前。
[15:41.730,15:43.330,2]  希望更精准的。
[15:48.330,15:49.540,2]  消耗精力更少。
[15:50.220,15:50.450,5]  嗯。
[15:57.550,16:2.840,4]  所以其实总体上来说就是需要一个很精准匹配的一个平台。
[16:3.540,16:3.940,6]  嗯。
[16:5.380,16:7.230,2]  风险就是可能出现。
[16:9.520,16:10.460,2]  灰色产品。
[16:13.120,16:30.410,3]  然后还有就是因为我我经常看到就是网上面小红书上面找那种男的，你找对象的，就是他们发的那些文字都是千篇一律的，这个时候就是你自己就是你，你对自己的描述跟你真实的情况可能还不一样。
[16:30.820,16:35.005,4]  这方面我问你可能也需要就是照片照片啊照片。
[16:35.005,16:40.440,3]  或者就是你对自己的一些性格方面的什么的描述，有时候可能描述有点不准。
[16:41.540,16:46.470,2]  但是照片就是这里又涉及到一个问题，找到案子要不要拍照片？
[16:47.090,16:53.580,2]  是就是可能大家都喜欢找好看的啊，就是对于建模没那么好的人来说去就反而成劣势。
[16:54.180,16:57.400,4]  没有转换搭子，是不是在肚子里痛一下？
[17:6.660,17:8.680,2]  你这个产品定位就是要精准的。
[17:9.240,17:12.905,4]  对其实总体上方面来说，这是认很精准的一个品牌。
[17:12.905,17:14.710,2]  然后还要尽可能有效必备。
[17:30.230,17:36.690,3]  然后他应该也就是也需要呃，根据你当前的IP地址来实施的。
[17:37.330,17:42.350,3]  在当前的城市找，有时候可能你短期出差也想找到这样的。
[17:43.830,17:48.820,2]  那就是实时IP啊，这个的还好，就是直接在帖子上加上城市名就好。
[17:50.570,17:59.550,3]  就是你的对，可能就是当时你推荐的时候，或者搜索的时候，根据你的定位来优先找当前产的什么地方筛选。
[18:2.150,18:3.390,2]  也是进行匹配。
[18:28.940,18:29.520,3]  就是。
