file: 海康_G92_无辅助_抽象.m4a
***********************************result**************************************

[0:3.620,0:5.940,0]  OK, 开始。
[0:22.200,0:24.940,1]  是。
[10:6.420,10:11.080,0]  大家也是可以差不多就分享一下。
[10:18.360,10:20.640,2]  说一下怎么出商品？
[10:22.000,10:24.960,0]  嗯。
[10:25.420,10:31.440,1]  老是感觉一旦把它系统规的量化了，反而他就不抽象。
[10:31.720,10:42.460,1]  无非我就是做一个平台，方便大家搜短服，搜短服，然后再加上一些等客服，嗯，对对，但其实这些功能现在就是。
[10:42.460,10:44.440,1]  也都有，就是没人整。
[10:48.660,10:51.800,1]  你甚至可以在平台上写一个接口。直接。
[10:52.000,10:56.330,1]  就是平台上搜，有个直接在那边好浏览器，然后把结果排下来。
[10:56.330,11:2.660,2]  做出来，那我们回来好像一直没有能够造出新的东西的。
[11:2.660,11:6.160,1]  说是造的还是造型是。
[11:7.160,11:8.160,0]  嗯。
[11:8.160,11:11.940,2]  所以我我在想，如果要设计一款相关的产品。
[11:11.980,11:14.340,2]  那这个产品就是能够。
[11:14.340,11:18.120,2]  激发大家去搞抽象的东西，就比如说。
[11:18.120,11:20.420,2]  定期搞一说战的比赛。
[11:20.440,11:24.890,2]  但他们最终的你去量化呢，还需要给我打分，对。
[11:24.890,11:35.020,1]  啊，而且感觉就是很多很能火的之后，其实他里面作者也并没有刻意的想要去让他活起来，嗯，就实际上做成大赛的话反而就理解。
[11:35.020,11:37.540,2]  有点就无意中就是。
[11:37.620,11:41.115,2]  把他给弄活了，那给他用力的话呢，就对反而。
[11:41.115,11:42.100,1]  得刻意为之。
[11:42.100,11:43.160,2]  对。
[11:48.320,11:50.040,1]  或者就是。
[11:50.040,11:52.640,1]  这个比赛就是不是官方评价。
[11:52.640,11:59.960,1]  就是大家自老将也要刷法，就是大家自己自发把这东西投到网上，看看网友对这些档的认可度。
[12:0.880,12:2.500,3]  没有。
[12:10.980,12:15.960,1]  抽象，然后我看到抽象有一个说是共同体的营造。
[12:15.980,12:20.620,1]  就是说B站现在很多up主如果想要跟特斯拉近关系，会把机手成分。
[12:20.620,12:22.480,2]  嗯，那确实。
[12:23.660,12:25.680,1]  故意设置2.5。
[12:40.380,12:42.880,1]  本质上讲就是在造小圈子。
[12:42.880,12:44.850,2]  造效圈子造。
[12:44.850,12:50.600,1]  造一些小圈子，造也是那种，比，比如说像蔡徐坤啊，或者原先启动的。
[12:50.800,12:52.980,1]  14514这些东西。
[12:53.020,12:58.520,2]  继实会去怪原生结录，他真的在用游戏里面戏样，因为我没玩过这款游戏来的玩。
[12:58.520,13:1.360,1]  但是就是感觉大家行1还是其动，就会有人没人。
